PROJECT_NM,PRJCT_TYPE,CLOSR_IND,CLOSR_DT,CLOSR_TYPE,SITE_LOC,ST_DESC,LATITUDE,LONGITUDE
LOSETH MEMORIAL,SIT - Recreation Site,N,,,GRAND FORKS,Small campsite right on the Grandby River. A memorial to the Loseth Family.,49.418736,-118.519963
GUS JOHNSON TRAIL,RTR - Recreation Trail,N,,,KAMLOOPS,This trail is a non motorized trail which is located adjacent to the community of Lac le Jeune.,50.475031,-120.494101
Centennial Trail,RTR - Recreation Trail,N,,,SUMAS,"This section of the Centennial Trail exists on Sumas Mountain; most of it is located within Sumas Mountain Park. There are two trailheads one the Eastern Trailhead the other the Western Trailhead both brings you to Chadsey Lake. Good views of the Eastern part of the Fraser Valley. Please note that the Eastern trailhead is currently marked with ""trail closed"" signs just pass Chadsey Lake as part of the trail is destroyed rendering it inaccessible.",49.122048,-122.18914
BEAVER LAKE,SIT - Recreation Site,N,,,FORT NELSON,The Beaver Lake Recreation Site offers camping day user area and fishing opportunities.  The site has had a major works project completed inthe Fall of 2008. The works consisted of improving the access road standardizing the camp site pads 2 new privies day use area and communal fire pit and a floating dock.,58.975508,-123.174752
BOBTAIL LAKE,SIT - Recreation Site,N,,,VANDERHOOF,This site boasts of newly upgraded facilities a new concrete boat launch at site 1 gravel capped in-site roads and camping pads and newly added stairs for convenient lake access at site 3.  This 3 part site is sheltered under a mature Douglas fir canopy and provides ample camping and easy access to the lake. The setting is very scenic.  All 3 camping areas are within a 1km stretch along the lake.  Parking at site 2 (middle campsite) provides access to Bobtail Bluff Trails.,53.613426,-123.484951
WATERLILY LAKE TRAIL,RTR - Recreation Trail,N,,,VANDERHOOF,A 20 km network of cross country ski trails maintained by the Nechako Valley Sporting Association in cooperation with the Recreation Sites and Trails Branch and L+M Lumber Ltd.,54.0803,-123.923124
DOCTOR CREEK CABIN,SIT - Recreation Site,N,,,CANAL FLATS,"Masks are mandatory cabin not be available for overnight use.  Older log cabin renovated and maintained by the Windermere Valley Snomobile Society.  Serves as a base for alpine snowmobiling and hiking opportunities.  Use is on a first come basis no reservations. ",50.015989,-116.170622
Whip me snip me,RTR - Recreation Trail,N,,,WHISTLER,,50.129893,-122.992403
CRATER LAKE,SIT - Recreation Site,N,,,NAZKO,This is a small walk or ATV into campsite along the lake shore.  The hill up to the site is a bit challenging but it is worth it to get to the lake.  Small campsites and toilet located at the lake great for tenting.,52.862497,-123.693671
LEGION TRAIL,RTR - Recreation Trail,N,,,PORT RENFREW,,48.657291,-123.613244
MORCHUEA LAKE,SIT - Recreation Site,N,,,DEASE LAKE,Mount Edziza is the backdrop to this beautiful location.  8 site units in this semi-open forested site.   Adequate access for large RVs and trailers with abundant overflow areas for groups.,57.985476,-130.065639
BUTTS,SIT - Recreation Site,Y,20200320,,FERNIE,"An open site on the Flathead Border Road.  A short hike to the west leads to Beryl and Marl lakes. Forest Service cabin available for public use. ",49.119953,-114.507176
Valley Mtn. Pass,RTR - Recreation Trail,N,,,WELLS,A newly constructed 4 season motorized trail that now connects Wells to Barkerville for snowmobiles in the winter and in conjunction with the new BGM Trail allows for ORV access the snow free months.  Trail travels through Barkerville Historic Townsite Park so please follow all directional signage.,53.103707,-121.566026
CAMP FOLEY,SIT - Recreation Site,N,,,CHILLIWACK,"A small 4 site campground located along the banks of the Chilliwack River is easily accessible as its located just off the Chilliwack Lake Road.  This site is popular for small family gatherings and get together with friends.   This site is reserved as a whole site.  For reservations additional information and updates please visit www.chilliwackvalleycampsites.ca. or email thurstonmeadows@yahoo.ca or call 604-824-0576. NOTE � This site may be open year round (weather permitting) but is key-accessible only.  The key must be picked up at Thurston Meadows Recreation Site.",49.100127,-121.62645
SPECS LAKES,SIT - Recreation Site,N,,,LAVINGTON,This site is on a small lake chain just east of Grizzly Swamp. Good fishing opportunity.,50.083403,-119.075516
PETER HOPE LAKE NORTH,SIT - Recreation Site,N,,,MERRITT,"Peter Hope Lake North is a popular site for fishing and camping. The campsite is located along the north shore of the lake and can accommodate motorhomes and large 5th wheels. There is a mix of sunny sites with a few shady sites also available.  There are 2 boat launches available for use and a rustic playground for kids under adult supervision. For more information please contact the Recreation Site Operator at (250) 819 8162",50.300543,-120.316391
RUM CACHE LAKE,SIT - Recreation Site,N,,,VANDERHOOF,This scenic lake with its high rock bluffs is popular with fly fishers. Please observe posted special angling restrictions. Note: access road is narrow with steep hills - not recommended for boat trailers and large RV's.,53.596581,-125.021847
CHAR CABIN,SIT - Recreation Site,N,,,CRESTON,This small sub-alpine site is predominately used in the winter for snowmobiling. The site provides a small cabin jointly managed by RSTBC and the Kokanee Country Snowmobile Club for public use. There is limited room so please contact the Kokanee Country Snowmobile Club before use. Note: The cabin has two lofts for sleeping and the main floor provides sleeping and a small kitchen area. This site is user maintained. Please replace any materials you use and pack out your garbage.,49.066368,-116.972305
SNOWSHOE LAKE TRAIL,RTR - Recreation Trail,N,,,FERNIE,This recreation trail is moderately difficult and winds into a small lake.,49.155371,-114.95053
KIDNEY LAKE,SIT - Recreation Site,Y,20210909,,ENDERBY,"This is a small scenic timbered site that is popular for day use. The access is rough. There is a rough car top boat launch with an unmaintained dock at the lake and three rough sites with two picnic tables and an outhouse in the campsite.",50.760116,-118.62668
Septimus / Mud Creek Motorized Trail,RTR - Recreation Trail,N,,,FORT ST. JOHN,"This is a network of motorized trails. It is managed in partnership with the Northland Trailblazers Snowmobile Club and the Moose ATV Club.   Northland Trailblazers Snowmobile Club  Moose ATV Club",56.130678,-120.731897
White River Jct. Graves Creek,SIT - Recreation Site,N,,,INVERMERE,"A medium sized open meadow campsite at the confluence of two rivers.  Fishing restrictions apply.2017 wildfires left fire burnt trees in close proximity to the recreation site.",50.183936,-115.282916
USLIKA LAKE,SIT - Recreation Site,N,,,MACKENZIE,"This site is set in a valley at the southern end of the lake.  The view is very scenic.  The site is enjoyed by all for swimming camping and fishing.  The site has a small sandy shoreline.  The basic amenities are provided. This site is located approximately 233kms off highway so come prepared.",56.080258,-125.241063
HEN INGRAM LAKE,SIT - Recreation Site,N,,,HORSEFLY,"This is a medium size rec site and is extremely busy site with defined campsites along the lakeshore.  It also has a good boat launch with parking adjacent.The main access road has been improved over the last couple of seasons making it much easier for larger units to access",52.472279,-120.96215
SLEEPING BEAUTY TR.,RTR - Recreation Trail,N,,,GRAHAM ISLAND,,53.262479,-132.215662
OSPREY LAKE NORTH,SIT - Recreation Site,N,,,PRINCETON,"This recreation site is used mainly by campers and fishermen but the nearby Kettle Valley Railway is a popular destination for hiking and mountain biking enthusiasts. The camp sites here are best suited for small to medium sized trailers or fifth wheels or class C motorhomes.  There is a short boat launch on site that can accommodate your typical aluminum boat and trailer but is a little steep.  ",49.715388,-120.204313
NOURSE/ ALLIN CREEK TRAIL,SIT - Recreation Site,N,,,BURNS LAKE,,54.061427,-125.956727
CUTOFF BUTTE TRAIL,RTR - Recreation Trail,Y,20210705,,VANDERHOOF,A steep 1.3 km hike with spectacular views from this ancient volcanic landmark.,53.572937,-124.78996
Tenquille Lake - Hawint,SIT - Recreation Site,N,,,PEMBERTON,"THE TENQUILLE LAKE CABIN IS CLOSED the cabin will re-open in 2022 with a reservation system.Tenquille Lake (Hawint) is within the unceded territory of the Lil&#787;wat Nation and has always been sacred to Lil&#787;wat Nation. The greater Tenquille Lake area including the Birkenhead River watershed is also within the unceded territory of N'Quatqua.This crystal clear sub-alpine lake is accessed via the Tenquille-Owl Lakes trail system. Access the lake from the Hurley FSR (via the Branch 12 trail; 6km 640m elevation gain) or from the Lillooet River FSR (Historic Tenquille Trail; 9km 1480m elevation gain). You can also take a 4-5 day hike through the mountain passes from Chain lakes to Tenquille from the Owl Creek FSR. See the trails listing for information on these trails.Tenquille Lake is grizzly bear country. Be bear aware store your food only in the bins provided and never feed bears.By order of the District Recreation Officer pursuant to Section 20 of the Forest Rec. Reg. the following rules are in effect within this site:1. Unauthorized Helicopter access is prohibited2. Unauthorized horse use within the recreation site is prohibited.3. Recreational motorized use is prohibited year-round within the recreation site and on Tenquille Lake trails.4. Dogs are not permitted within the recreation site or on the trails leading to the lake. 5. Mountain biking is not permitted within the recreation site or on the trails leading to the lake or on the Mt. Barbour trail. 6. Camping is allowed in designated sites only.7. Campfires are not permitted in the recreation site.Please be respectful pack out what you pack in obey all posted rules and leave the cabin better than you found it!The Province is working in partnership with Lil&#787;wat Nation and N'Quatqua to implement the Visitor Use Management Strategy for the Tenquille Lake area. See documents link below.",50.537044,-122.926664
